dr_id	name	type	description
00044838	Egdrphyprw	Drug Type 020	Desp. of Drug Egdrphyprw
00042002	Wnufrmljvt	Drug Type 008	Desp. of Drug Wnufrmljvt
00026484	Fntqvwfywk	Drug Type 007	Desp. of Drug Fntqvwfywk
00063456	Eipeflpwud	Drug Type 016	Desp. of Drug Eipeflpwud
00018935	Dwhwbnesou	Drug Type 009	Desp. of Drug Dwhwbnesou
00040615	Tnlerbmqqr	Drug Type 019	Desp. of Drug Tnlerbmqqr
00080524	Jwkujugqjy	Drug Type 004	Desp. of Drug Jwkujugqjy
00013725	Limnjxiiqz	Drug Type 016	Desp. of Drug Limnjxiiqz
00097980	Swvdxnyqme	Drug Type 010	Desp. of Drug Swvdxnyqme
00003300	Ewkoaktwxc	Drug Type 005	Desp. of Drug Ewkoaktwxc
00046281	Cmuojwbzto	Drug Type 017	Desp. of Drug Cmuojwbzto
00027013	Rswhfsbytf	Drug Type 004	Desp. of Drug Rswhfsbytf
00017760	Qvncbiafmk	Drug Type 008	Desp. of Drug Qvncbiafmk
00077250	Tjdbqyrusd	Drug Type 008	Desp. of Drug Tjdbqyrusd
00074108	Yobemxlyjh	Drug Type 005	Desp. of Drug Yobemxlyjh
00030537	Qiaswlwlhj	Drug Type 002	Desp. of Drug Qiaswlwlhj
00075317	Ptiujwabiz	Drug Type 017	Desp. of Drug Ptiujwabiz
00085392	Ucdumttwhh	Drug Type 010	Desp. of Drug Ucdumttwhh
00080985	Afmymkmfex	Drug Type 018	Desp. of Drug Afmymkmfex
00047899	Qqgbygkois	Drug Type 013	Desp. of Drug Qqgbygkois
00057080	Oaifgsfoyo	Drug Type 003	Desp. of Drug Oaifgsfoyo
00077052	Xbclipmmlk	Drug Type 013	Desp. of Drug Xbclipmmlk
00091151	Qgksbjopan	Drug Type 016	Desp. of Drug Qgksbjopan
00022055	Ymdvxwvagf	Drug Type 019	Desp. of Drug Ymdvxwvagf
00012849	Maujguvlal	Drug Type 001	Desp. of Drug Maujguvlal
00020955	Mexqbonjce	Drug Type 001	Desp. of Drug Mexqbonjce
00020148	Uwncddjgil	Drug Type 011	Desp. of Drug Uwncddjgil
00059398	Mwjdqgzcld	Drug Type 006	Desp. of Drug Mwjdqgzcld
00088187	Ucdsjhxyor	Drug Type 018	Desp. of Drug Ucdsjhxyor
00090774	Ispigxoxvg	Drug Type 020	Desp. of Drug Ispigxoxvg
00053613	Rrornecbmb	Drug Type 007	Desp. of Drug Rrornecbmb
00043752	Gtvycigtqa	Drug Type 019	Desp. of Drug Gtvycigtqa
00048175	Xecjvikagn	Drug Type 014	Desp. of Drug Xecjvikagn
00030905	Blnuutnflq	Drug Type 017	Desp. of Drug Blnuutnflq
00041808	Gdrkkrgrni	Drug Type 018	Desp. of Drug Gdrkkrgrni
00050395	Yvviswtynh	Drug Type 008	Desp. of Drug Yvviswtynh
00055730	Sppkmtftho	Drug Type 001	Desp. of Drug Sppkmtftho
00090728	Ufhgiynplw	Drug Type 003	Desp. of Drug Ufhgiynplw
00088709	Vrevyqtboy	Drug Type 014	Desp. of Drug Vrevyqtboy
00056220	Kfuuagiwgc	Drug Type 004	Desp. of Drug Kfuuagiwgc
