e_id	name	type
00271	Microarray	Genomic
00314	Microarray	Genomic
00651	Microarray	Genomic
00285	Microarray	Genomic
00895	Microarray	Genomic
00726	Microarray	Genomic
00706	Microarray	Genomic
00995	Microarray	Genomic
00075	Microarray	Genomic
00421	Microarray	Genomic
00297	Microarray	Genomic
00906	Microarray	Genomic
00768	Microarray	Genomic
00172	Microarray	Genomic
00286	Microarray	Genomic
00606	Microarray	Genomic
00459	Microarray	Genomic
00745	Microarray	Genomic
00152	Microarray	Genomic
00084	Microarray	Genomic
00102	Microarray	Genomic
00433	Microarray	Genomic
00467	Microarray	Genomic
00814	Microarray	Genomic
00999	Microarray	Genomic
00033	Microarray	Genomic
00685	Microarray	Genomic
00509	Microarray	Genomic
00566	Microarray	Genomic
00753	Microarray	Genomic
00156	Microarray	Genomic
00071	Microarray	Genomic
00386	Microarray	Genomic
00276	Microarray	Genomic
00713	Microarray	Genomic
00115	Microarray	Genomic
00676	Microarray	Genomic
00131	Microarray	Genomic
00151	Microarray	Genomic
00227	Microarray	Genomic
00076	Microarray	Genomic
00451	Microarray	Genomic
00603	Microarray	Genomic
00371	Microarray	Genomic
00550	Microarray	Genomic
00382	Microarray	Genomic
00256	Microarray	Genomic
00828	Microarray	Genomic
00814	Microarray	Genomic
00465	Microarray	Genomic
00571	Microarray	Genomic
00625	Microarray	Genomic
00035	Microarray	Genomic
00652	Microarray	Genomic
00589	Microarray	Genomic
00819	Microarray	Genomic
00814	Microarray	Genomic
00729	Microarray	Genomic
00072	Microarray	Genomic
00585	Microarray	Genomic
00284	Microarray	Genomic
00906	Microarray	Genomic
00987	Microarray	Genomic
00910	Microarray	Genomic
00365	Microarray	Genomic
00632	Microarray	Genomic
00696	Microarray	Genomic
00349	Microarray	Genomic
00061	Microarray	Genomic
00567	Microarray	Genomic
00078	Microarray	Genomic
00334	Microarray	Genomic
00438	Microarray	Genomic
00197	Microarray	Genomic
00067	Microarray	Genomic
00083	Microarray	Genomic
00777	Microarray	Genomic
00973	Microarray	Genomic
00096	Microarray	Genomic
00202	Microarray	Genomic
00880	Microarray	Genomic
00380	Microarray	Genomic
00515	Microarray	Genomic
00433	Microarray	Genomic
00997	Microarray	Genomic
00062	Microarray	Genomic
00607	Microarray	Genomic
00741	Microarray	Genomic
00431	Microarray	Genomic
00431	Microarray	Genomic
00006	Microarray	Genomic
00945	Microarray	Genomic
00017	Microarray	Genomic
00497	Microarray	Genomic
00719	Microarray	Genomic
00900	Microarray	Genomic
00279	Microarray	Genomic
00138	Microarray	Genomic
00976	Microarray	Genomic
00213	Microarray	Genomic
