e_id	nm_id	pj_id	pn_id	pf_id	pt_id	pu_id
00271	04	004	07896	null	026	null
00271	null	null	01177	null	null	null
00271	null	null	07854	null	null	null
00271	null	null	02806	null	null	null
00271	null	null	04614	null	null	null
00271	null	null	05982	null	null	null
00271	null	null	null	null	null	09716
00314	06	088	03132	null	081	null
00314	null	null	06255	null	null	null
00314	null	null	07886	null	null	null
00314	null	null	08733	null	null	null
00314	null	null	00709	null	null	null
00314	null	null	04351	null	null	null
00314	null	null	07854	null	null	null
00314	null	null	08987	null	null	null
00314	null	null	00468	null	null	null
00314	null	null	02961	null	null	null
00314	null	null	null	null	null	03463
00651	06	092	02444	null	058	null
00651	null	null	08742	null	null	null
00651	null	null	08937	null	null	null
00651	null	null	00308	null	null	null
00651	null	null	08874	null	null	null
00651	null	null	null	null	null	08618
00651	null	null	null	null	null	03639
00285	06	080	03050	null	058	null
00285	null	null	03181	null	null	null
00285	null	null	02101	null	null	null
00285	null	null	null	null	null	09593
00285	null	null	null	null	null	07072
00285	null	null	null	null	null	09458
00895	08	048	01468	null	090	null
00895	null	null	07646	null	null	null
00895	null	null	03181	null	null	null
00895	null	null	null	null	null	09190
00726	04	010	06005	null	099	null
00726	null	null	09206	null	null	null
00726	null	null	04351	null	null	null
00726	null	null	03818	null	null	null
00726	null	null	00396	null	null	null
00726	null	null	07617	null	null	null
00726	null	null	02013	null	null	null
00726	null	null	08054	null	null	null
00726	null	null	03818	null	null	null
00726	null	null	09685	null	null	null
00726	null	null	null	null	null	05860
00726	null	null	null	null	null	07138
00706	06	088	08962	null	051	null
00706	null	null	03132	null	null	null
00706	null	null	07718	null	null	null
00706	null	null	03626	null	null	null
00706	null	null	04850	null	null	null
00706	null	null	06901	null	null	null
00706	null	null	09454	null	null	null
00706	null	null	00308	null	null	null
00706	null	null	01508	null	null	null
00706	null	null	07488	null	null	null
00706	null	null	null	null	null	01163
00995	06	010	02101	null	048	null
00995	null	null	01176	null	null	null
00995	null	null	04016	null	null	null
00995	null	null	07448	null	null	null
00995	null	null	04440	null	null	null
00995	null	null	06326	null	null	null
00995	null	null	09884	null	null	null
00995	null	null	03913	null	null	null
00995	null	null	04170	null	null	null
