UID	go_id	cl_id	dm_id	pm_id	UID2
0002616922	0081222	00002	00398516	null	null
0002616922	null	null	00246410	null	null
0002616922	null	null	null	00647794	null
0002616922	null	null	null	00994012	null
0002616922	null	null	null	null	0050269934
0002616922	null	null	null	null	0046748681
0055191224	0047779	00002	00249242	null	null
0055191224	null	null	00904463	null	null
0055191224	null	null	null	00631975	null
0055191224	null	null	null	00399621	null
0055191224	null	null	null	00016030	null
0055191224	null	null	null	null	0039083078
0051323880	0058842	00002	00103339	null	null
0051323880	null	null	null	00795999	null
0051323880	null	null	null	00223563	null
0051323880	null	null	null	null	0093341615
0051323880	null	null	null	null	0084288452
0051323880	null	null	null	null	0048920943
0051323880	null	null	null	null	0072199455
0058732744	0031429	00002	00808610	null	null
0058732744	null	null	00550786	null	null
0058732744	null	null	null	00273958	null
0058732744	null	null	null	00223563	null
0058732744	null	null	null	00853170	null
0058732744	null	null	null	null	0093920247
0058732744	null	null	null	null	0065371236
0040425172	0032141	00002	00254729	null	null
0040425172	null	null	00471255	null	null
0040425172	null	null	null	00811182	null
0040425172	null	null	null	null	0050889770
0045666597	0044791	00002	00703629	null	null
0045666597	null	null	00273345	null	null
0045666597	null	null	null	00898416	null
0045666597	null	null	null	00423719	null
0045666597	null	null	null	null	0015933305
0071758989	0002236	00002	00238946	null	null
0071758989	null	null	null	00186754	null
0071758989	null	null	null	00315905	null
0071758989	null	null	null	null	0002988848
0088305510	0071485	00002	00420110	null	null
0088305510	null	null	00646478	null	null
0088305510	null	null	00210647	null	null
0088305510	null	null	null	00194130	null
0088305510	null	null	null	00006131	null
0088305510	null	null	null	00159991	null
0088305510	null	null	null	null	0011333636
0088305510	null	null	null	null	0070896096
0088305510	null	null	null	null	0053622424
0044075152	0076463	00002	00857591	null	null
0044075152	null	null	00282561	null	null
0044075152	null	null	00973332	null	null
0044075152	null	null	null	00104537	null
0044075152	null	null	null	00787224	null
0044075152	null	null	null	00535068	null
0044075152	null	null	null	null	0031118425
0044075152	null	null	null	null	0017144710
0044075152	null	null	null	null	0017366627
0044075152	null	null	null	null	0016369737
0044075152	null	null	null	null	0025354048
0002382734	0083145	00002	00990595	null	null
0002382734	null	null	null	00355060	null
0002382734	null	null	null	00521847	null
0002382734	null	null	null	00881483	null
0002382734	null	null	null	null	0094707966
0002382734	null	null	null	null	0024253623
0002382734	null	null	null	null	0045032562
0002382734	null	null	null	null	0067956399
0037702028	0060160	00002	00204023	null	null
0037702028	null	null	null	00830710	null
0037702028	null	null	null	00557088	null
0037702028	null	null	null	null	0096838537
0037702028	null	null	null	null	0078589509
0037702028	null	null	null	null	0008233526
0037702028	null	null	null	null	0043771169
0004613917	0039249	00002	00055992	null	null
0004613917	null	null	00003629	null	null
0004613917	null	null	00749652	null	null
0004613917	null	null	null	00304371	null
0004613917	null	null	null	00070372	null
0004613917	null	null	null	00638417	null
0004613917	null	null	null	null	0008508794
0004613917	null	null	null	null	0078742292
0043758546	0055840	00002	00731632	null	null
0043758546	null	null	null	00067620	null
0043758546	null	null	null	00039246	null
0043758546	null	null	null	00361578	null
0043758546	null	null	null	null	0041001907
0043758546	null	null	null	null	0010018705
0020209218	0078868	00002	00210548	null	null
0020209218	null	null	00961371	null	null
0020209218	null	null	null	00369602	null
0020209218	null	null	null	00691783	null
0020209218	null	null	null	00571493	null
0020209218	null	null	null	null	0057704773
0020209218	null	null	null	null	0072988530
0058792011	0097989	00002	00436121	null	null
0058792011	null	null	00157588	null	null
0058792011	null	null	00812616	null	null
0058792011	null	null	null	00337642	null
0058792011	null	null	null	00104861	null
0058792011	null	null	null	null	0021068120
0058792011	null	null	null	null	0006914859
0058792011	null	null	null	null	0041957226
0058792011	null	null	null	null	0018634953
0058792011	null	null	null	null	0053522205
0094657282	0089661	00002	00501937	null	null
0094657282	null	null	00726589	null	null
0094657282	null	null	null	00677794	null
0094657282	null	null	null	00136708	null
0094657282	null	null	null	null	0019171339
0094657282	null	null	null	null	0075855462
0094657282	null	null	null	null	0075715750
0094657282	null	null	null	null	0072988530
0077225676	0085498	00002	00877436	null	null
0077225676	null	null	00372837	null	null
0077225676	null	null	00537299	null	null
0077225676	null	null	null	00632863	null
0077225676	null	null	null	00939605	null
0077225676	null	null	null	null	0063595060
0077225676	null	null	null	null	0024837471
0039797980	0088824	00002	00298868	null	null
0039797980	null	null	00260257	null	null
0039797980	null	null	null	00858329	null
0039797980	null	null	null	null	0021282903
0039797980	null	null	null	null	0080885057
