go_id	accession	type	name	definition
89066	Go.3615	GO Type 01	rapguf	Definition of rapguf
39128	Go.8596	GO Type 02	yoohis	Definition of yoohis
29282	Go.406	GO Type 02	fhrrdb	Definition of fhrrdb
95660	Go.2913	GO Type 01	dgmvap	Definition of dgmvap
85159	Go.1741	GO Type 02	nwanwa	Definition of nwanwa
45725	Go.8705	GO Type 03	yseygc	Definition of yseygc
88041	Go.4466	GO Type 01	dwodeo	Definition of dwodeo
60160	Go.7483	GO Type 03	drlfnz	Definition of drlfnz
37135	Go.303	GO Type 02	jyfqlp	Definition of jyfqlp
51640	Go.7382	GO Type 02	fpklvl	Definition of fpklvl
53563	Go.1809	GO Type 03	rtlujn	Definition of rtlujn
31832	Go.8832	GO Type 03	udnxxq	Definition of udnxxq
43027	Go.8895	GO Type 02	lhfrjy	Definition of lhfrjy
15291	Go.191	GO Type 02	osqvvb	Definition of osqvvb
41820	Go.5491	GO Type 01	ruegjl	Definition of ruegjl
30913	Go.695	GO Type 02	igdivt	Definition of igdivt
88832	Go.7799	GO Type 02	jqcfqn	Definition of jqcfqn
72336	Go.5951	GO Type 02	crngjj	Definition of crngjj
12803	Go.3920	GO Type 01	vrnfdy	Definition of vrnfdy
40167	Go.8190	GO Type 01	vwipil	Definition of vwipil
39473	Go.9310	GO Type 01	iqsdsk	Definition of iqsdsk
93127	Go.381	GO Type 03	bqcxvj	Definition of bqcxvj
50392	Go.4666	GO Type 01	yatxaa	Definition of yatxaa
78839	Go.1675	GO Type 02	blqety	Definition of blqety
41043	Go.9862	GO Type 02	xbdiis	Definition of xbdiis
57898	Go.8465	GO Type 01	anqtaw	Definition of anqtaw
64109	Go.8877	GO Type 02	uwddsf	Definition of uwddsf
25401	Go.8157	GO Type 02	piksux	Definition of piksux
11322	Go.4619	GO Type 01	hedppu	Definition of hedppu
33555	Go.2599	GO Type 01	tfahcs	Definition of tfahcs
42972	Go.300	GO Type 01	dumyhz	Definition of dumyhz
82649	Go.5002	GO Type 03	udltps	Definition of udltps
64020	Go.5799	GO Type 03	ezykbo	Definition of ezykbo
84802	Go.1109	GO Type 01	nzhiqe	Definition of nzhiqe
41157	Go.6637	GO Type 01	xhohgz	Definition of xhohgz
17543	Go.4767	GO Type 02	wvmpsu	Definition of wvmpsu
41519	Go.4827	GO Type 03	zmlnsu	Definition of zmlnsu
7240	Go.4561	GO Type 01	tqgvte	Definition of tqgvte
62940	Go.7113	GO Type 01	eaxcpj	Definition of eaxcpj
87202	Go.124	GO Type 01	ycrafv	Definition of ycrafv
48203	Go.607	GO Type 02	pcybcf	Definition of pcybcf
3953	Go.7716	GO Type 01	lwyqxl	Definition of lwyqxl
36351	Go.6213	GO Type 01	bbasuz	Definition of bbasuz
18852	Go.2284	GO Type 02	zuicpc	Definition of zuicpc
69698	Go.2504	GO Type 01	ssszcd	Definition of ssszcd
34408	Go.5080	GO Type 03	wpdgfb	Definition of wpdgfb
66837	Go.1019	GO Type 03	yfeavt	Definition of yfeavt
7837	Go.457	GO Type 02	ywdayr	Definition of ywdayr
93797	Go.5901	GO Type 01	qcichl	Definition of qcichl
3872	Go.3110	GO Type 01	wcyqfm	Definition of wcyqfm
66574	Go.4404	GO Type 03	kjtxiv	Definition of kjtxiv
38425	Go.5577	GO Type 02	saxsyu	Definition of saxsyu
88227	Go.9944	GO Type 02	lfktuy	Definition of lfktuy
90050	Go.6464	GO Type 01	sjgzdb	Definition of sjgzdb
95200	Go.2270	GO Type 02	gqxiib	Definition of gqxiib
27723	Go.5344	GO Type 01	fsdwub	Definition of fsdwub
58842	Go.8175	GO Type 02	xlzogs	Definition of xlzogs
17921	Go.7446	GO Type 01	enloua	Definition of enloua
51298	Go.6774	GO Type 01	nrbvrb	Definition of nrbvrb
28150	Go.9936	GO Type 03	jpjliw	Definition of jpjliw
28504	Go.1134	GO Type 01	rxehai	Definition of rxehai
7967	Go.846	GO Type 03	ourjnc	Definition of ourjnc
39969	Go.3722	GO Type 02	pcinsr	Definition of pcinsr
99491	Go.6516	GO Type 03	eturcn	Definition of eturcn
27006	Go.2762	GO Type 03	eqpncd	Definition of eqpncd
1094	Go.1017	GO Type 03	vcoano	Definition of vcoano
44684	Go.4028	GO Type 02	goeupd	Definition of goeupd
4555	Go.7356	GO Type 03	sxwthn	Definition of sxwthn
64747	Go.2505	GO Type 02	qbzqer	Definition of qbzqer
14134	Go.4134	GO Type 01	metlon	Definition of metlon
47677	Go.440	GO Type 03	oezbck	Definition of oezbck
45956	Go.2371	GO Type 01	fvsqva	Definition of fvsqva
19382	Go.6604	GO Type 01	faqjsq	Definition of faqjsq
397	Go.6499	GO Type 01	svhuej	Definition of svhuej
61409	Go.2331	GO Type 03	ztlotn	Definition of ztlotn
89918	Go.4021	GO Type 02	anutkx	Definition of anutkx
79888	Go.7313	GO Type 03	ahzqvo	Definition of ahzqvo
58377	Go.5821	GO Type 01	iiictx	Definition of iiictx
14130	Go.3944	GO Type 02	kbdgyq	Definition of kbdgyq
89141	Go.5245	GO Type 01	tpfymf	Definition of tpfymf
79050	Go.5593	GO Type 01	bugnot	Definition of bugnot
74610	Go.775	GO Type 01	vrmchq	Definition of vrmchq
71832	Go.9290	GO Type 03	gdcjto	Definition of gdcjto
26365	Go.2871	GO Type 01	ckpcig	Definition of ckpcig
17655	Go.4426	GO Type 01	hurtqt	Definition of hurtqt
40654	Go.2507	GO Type 03	osoawd	Definition of osoawd
37680	Go.6800	GO Type 01	jojkdy	Definition of jojkdy
40381	Go.1652	GO Type 02	dmgybe	Definition of dmgybe
79875	Go.8498	GO Type 01	tekstq	Definition of tekstq
21103	Go.6812	GO Type 01	nrxieh	Definition of nrxieh
6819	Go.4775	GO Type 02	eslvyo	Definition of eslvyo
66524	Go.4228	GO Type 02	dtyyrw	Definition of dtyyrw
1034	Go.8128	GO Type 03	mysclf	Definition of mysclf
2668	Go.8144	GO Type 02	ogaqym	Definition of ogaqym
6921	Go.5822	GO Type 02	oextyo	Definition of oextyo
19028	Go.3245	GO Type 03	ttiybq	Definition of ttiybq
51748	Go.3567	GO Type 03	ngvtdg	Definition of ngvtdg
14512	Go.7353	GO Type 01	ixdhvb	Definition of ixdhvb
62994	Go.5145	GO Type 01	cuwyuu	Definition of cuwyuu
22933	Go.4905	GO Type 02	yaoabd	Definition of yaoabd
89415	Go.446	GO Type 02	esdlfa	Definition of esdlfa
69222	Go.6671	GO Type 01	iiqgim	Definition of iiqgim
13480	Go.79	GO Type 02	xcmkbb	Definition of xcmkbb
46706	Go.6361	GO Type 02	aishnx	Definition of aishnx
42058	Go.3999	GO Type 03	sxzrcf	Definition of sxzrcf
56871	Go.1744	GO Type 03	zmsycp	Definition of zmsycp
76220	Go.6902	GO Type 03	tqpflk	Definition of tqpflk
72617	Go.2358	GO Type 03	tyjqgm	Definition of tyjqgm
53105	Go.7220	GO Type 03	qkcico	Definition of qkcico
35101	Go.3763	GO Type 02	pauyqz	Definition of pauyqz
96248	Go.5967	GO Type 02	ecfjol	Definition of ecfjol
50587	Go.388	GO Type 02	haelbu	Definition of haelbu
34478	Go.4101	GO Type 01	sdcqsv	Definition of sdcqsv
92890	Go.5980	GO Type 02	nnbspf	Definition of nnbspf
61241	Go.1309	GO Type 03	iuzmdo	Definition of iuzmdo
60634	Go.2338	GO Type 01	irjnxj	Definition of irjnxj
82629	Go.9616	GO Type 01	uscvkh	Definition of uscvkh
29175	Go.6608	GO Type 01	yudnsc	Definition of yudnsc
