s_id	e_id	pb_id	mu_id	exp
0000300018	00652	0054226887	001	104
0000300018	00652	0057330652	001	178
0000300018	00652	0034055558	001	162
0000300018	00652	0008335046	001	99
0000300018	00652	0021733850	001	182
0000300018	00652	0041793852	001	130
0000300018	00652	0093200955	001	68
0000300018	00652	0049638573	001	143
0000300018	00652	0064868889	001	8
0000300018	00652	0091809138	001	10
0000300018	00652	0027051001	001	138
0000300018	00652	0017376411	001	58
0000300018	00652	0005324823	001	62
0000300018	00652	0005527524	001	96
0000300018	00652	0093187265	001	159
0000300018	00652	0096167817	001	198
0000300018	00652	0011285163	001	198
0000300018	00652	0057739856	001	65
0000300018	00652	0082076281	001	2
0000300018	00652	0051513963	001	155
0000300018	00652	0039210267	001	155
0000300018	00652	0078982037	001	183
0000300018	00652	0043281097	001	169
0000300018	00652	0065832872	001	81
0000300018	00652	0059195687	001	27
0000300018	00652	0030386972	001	89
0000300018	00652	0056568043	001	137
0000300018	00652	0064155430	001	95
0000300018	00652	0079766250	001	143
0000300018	00652	0024010376	001	198
0000300018	00652	0058483894	001	136
0000300018	00652	0094372697	001	52
0000300018	00652	0080262939	001	192
0000300018	00652	0094759774	001	12
0000300018	00652	0068165320	001	4
0000300018	00652	0070974565	001	123
0000300018	00652	0025646209	001	10
0000300018	00652	0090892090	001	109
0000300018	00652	0083567889	001	156
0000300018	00652	0037656457	001	137
0000300018	00652	0059257240	001	25
0000300018	00652	0090499514	001	1
0000300018	00652	0080297036	001	127
0000300018	00652	0094950198	001	135
0000300018	00652	0030838925	001	167
0000300018	00652	0039488373	001	42
0000300018	00652	0035746916	001	192
0000300018	00652	0052909912	001	186
0000300018	00652	0040673545	001	43
0000300018	00652	0037164053	001	66
0000300018	00652	0006830950	001	161
0000300018	00652	0061980957	001	133
0000300018	00652	0099639635	001	178
0000300018	00652	0014434946	001	179
0000300018	00652	0093981156	001	119
0000300018	00652	0026325931	001	60
0000300018	00652	0097509640	001	158
0000300018	00652	0065481667	001	116
0000300018	00652	0021915551	001	82
0000300018	00652	0049215226	001	188
0000300018	00652	0016242251	001	107
0000300018	00652	0048935808	001	46
0000300018	00652	0058169054	001	52
0000300018	00652	0041696540	001	143
0000300018	00652	0031287428	001	183
0000300018	00652	0015528672	001	182
0000300018	00652	0065717171	001	123
0000300018	00652	0043900711	001	175
0000300018	00652	0074281614	001	176
0000300018	00652	0028002195	001	172
0000300018	00652	0096815548	001	39
0000300018	00652	0093987300	001	63
0000300018	00652	0087920175	001	168
0000300018	00652	0046582313	001	4
0000300018	00652	0020661297	001	2
0000300018	00652	0089519898	001	163
0000300018	00652	0042764162	001	44
0000300018	00652	0016813154	001	108
0000300018	00652	0021400422	001	56
0000300018	00652	0039333261	001	148
0000300018	00652	0054364130	001	75
0000300018	00652	0055995820	001	200
0000300018	00652	0038753889	001	194
0000300018	00652	0084150087	001	18
0000300018	00652	0092444335	001	98
0000300018	00652	0037214171	001	72
0000300018	00652	0014320344	001	101
0000300018	00652	0062730274	001	163
0000300018	00652	0037136365	001	29
0000300018	00652	0088747898	001	113
0000300018	00652	0059332581	001	47
0000300018	00652	0021937582	001	193
0000300018	00652	0048857147	001	167
0000300018	00652	0039890084	001	122
0000300018	00652	0087304779	001	19
0000300018	00652	0043829674	001	176
0000300018	00652	0070824241	001	174
0000300018	00652	0062480913	001	53
0000300018	00652	0018766927	001	36
0000300018	00652	0078755916	001	173
0000300018	00652	0037413012	001	146
0000300018	00652	0002210133	001	23
0000300018	00652	0017305463	001	140
0000300018	00652	0063000195	001	196
0000300018	00652	0047365100	001	40
0000300018	00652	0035226687	001	130
0000300018	00652	0026824306	001	30
0000300018	00652	0019852952	001	52
0000300018	00652	0062198222	001	47
0000300018	00652	0087189898	001	195
0000300018	00652	0039741346	001	84
0000300018	00652	0095349912	001	127
0000300018	00652	0065218613	001	179
0000300018	00652	0031694037	001	98
0000300018	00652	0076490327	001	175
0000300018	00652	0004753570	001	191
0000300018	00652	0070027429	001	65
0000300018	00652	0061898145	001	32
0000300018	00652	0047789127	001	109
0000300018	00652	0091902285	001	187
0000300018	00652	0088588006	001	59
0000300018	00652	0058274010	001	106
0000300018	00652	0039388438	001	167
0000300018	00652	0016623602	001	160
0000300018	00652	0065633193	001	69
0000300018	00652	0073562591	001	59
0000300018	00652	0098330821	001	45
0000300018	00652	0060861377	001	24
0000300018	00652	0071171653	001	78
0000300018	00652	0026654769	001	72
0000300018	00652	0039300092	001	15
0000300018	00652	0045099291	001	196
0000300018	00652	0099089965	001	8
0000300018	00652	0097631809	001	124
0000300018	00652	0014244584	001	97
0000300018	00652	0081963143	001	191
0000300018	00652	0050809922	001	188
0000300018	00652	0030355683	001	72
0000300018	00652	0060847723	001	181
0000300018	00652	0026123317	001	78
0000300018	00652	0057940778	001	147
0000300018	00652	0087530993	001	193
0000300018	00652	0084925514	001	64
0000300018	00652	0044625421	001	111
0000300018	00652	0096696415	001	91
0000300018	00652	0021670867	001	178
0000300018	00652	0014809894	001	66
0000300018	00652	0015024581	001	164
0000300018	00652	0075065164	001	115
0000300018	00652	0069192826	001	46
0000300018	00652	0061263276	001	159
0000300018	00652	0074357723	001	86
0000300018	00652	0004819911	001	198
0000300018	00652	0066555028	001	17
0000300018	00652	0081771004	001	70
0000300018	00652	0093493039	001	184
0000300018	00652	0027309134	001	194
0000300018	00652	0061183191	001	139
0000300018	00652	0017922945	001	61
0000300018	00652	0009526003	001	181
0000300018	00652	0006566229	001	6
0000300018	00652	0050147415	001	192
0000300018	00652	0003367993	001	66
0000300018	00652	0087290322	001	32
0000300018	00652	0035959967	001	111
0000300018	00652	0097579590	001	26
0000300018	00652	0048720336	001	96
0000300018	00652	0025626915	001	45
0000300018	00652	0019411389	001	198
0000300018	00652	0023347521	001	147
0000300018	00652	0074133813	001	22
0000300018	00652	0051450463	001	50
0000300018	00652	0066749951	001	76
0000300018	00652	0022976057	001	121
0000300018	00652	0062291006	001	89
0000300018	00652	0017175015	001	200
0000300018	00652	0076994353	001	6
0000300018	00652	0098852216	001	98
0000300018	00652	0057610024	001	122
0000300018	00652	0026214597	001	154
0000300018	00652	0002992703	001	28
0000300018	00652	0043169474	001	75
0000300018	00652	0084610864	001	55
0000300018	00652	0064227133	001	152
0000300018	00652	0017463107	001	51
0000300018	00652	0058956857	001	125
0000300018	00652	0051804400	001	200
0000300018	00652	0045851330	001	193
0000300018	00652	0060265570	001	124
0000300018	00652	0062855735	001	65
0000300018	00652	0000008191	001	195
0000300018	00652	0086851718	001	158
0000300018	00652	0053063063	001	97
0000300018	00652	0011391825	001	149
0000300018	00652	0078737809	001	156
0000300018	00652	0026806825	001	184
0000300018	00652	0077796422	001	142
0000300018	00652	0009789922	001	150
0000300018	00652	0039205908	001	64
0000300018	00652	0034188982	001	103
0000300018	00652	0072905736	001	33
0000300018	00652	0010166204	001	178
0000300018	00652	0012835461	001	66
0000300018	00652	0074267188	001	125
0000300018	00652	0098282093	001	124
0000300018	00652	0015138320	001	118
0000300018	00652	0099141506	001	56
0000300018	00652	0094219117	001	26
0000300018	00652	0048557580	001	25
0000300018	00652	0016916475	001	53
0000300018	00652	0093124034	001	147
0000300018	00652	0002719519	001	112
0000300018	00652	0039702415	001	35
0000300018	00652	0033152868	001	56
0000300018	00652	0025601881	001	1
0000300018	00652	0080433564	001	48
0000300018	00652	0086662542	001	39
0000300018	00652	0031272050	001	182
0000300018	00652	0059698495	001	184
0000300018	00652	0012363205	001	186
0000300018	00652	0041279884	001	69
0000300018	00652	0068273503	001	172
0000300018	00652	0090588415	001	101
0000300018	00652	0098468967	001	128
0000300018	00652	0004594927	001	192
0000300018	00652	0042571399	001	183
0000300018	00652	0027004656	001	100
0000300018	00652	0015821487	001	121
0000300018	00652	0022285607	001	69
0000300018	00652	0032086762	001	13
0000300018	00652	0007075876	001	98
0000300018	00652	0086710502	001	117
0000300018	00652	0013679213	001	28
0000300018	00652	0090587010	001	29
0000300018	00652	0065442754	001	161
0000300018	00652	0041998424	001	70
0000300018	00652	0037547944	001	188
0000300018	00652	0073367056	001	86
0000300018	00652	0097019239	001	17
0000300018	00652	0000712222	001	27
0000300018	00652	0028874718	001	63
0000300018	00652	0081815533	001	120
0000300018	00652	0055235589	001	200
0000300018	00652	0046472470	001	200
0000300018	00652	0078371861	001	183
0000300018	00652	0006502824	001	157
0000300018	00652	0064729627	001	66
0000300018	00652	0058200335	001	91
0000300018	00652	0020999197	001	17
0000300018	00652	0021763805	001	164
0000300018	00652	0057981554	001	54
0000300018	00652	0042797334	001	128
0000300018	00652	0051762661	001	138
0000300018	00652	0012936021	001	105
0000300018	00652	0076107732	001	131
0000300018	00652	0094861044	001	22
0000300018	00652	0038744853	001	167
0000300018	00652	0084130861	001	11
0000300018	00652	0023750380	001	91
0000300018	00652	0012568351	001	179
0000300018	00652	0041839939	001	117
0000300018	00652	0083699127	001	111
0000300018	00652	0041665327	001	163
0000300018	00652	0016637116	001	153
0000300018	00652	0088047959	001	123
0000300018	00652	0037641391	001	197
0000300018	00652	0040870692	001	134
0000300018	00652	0020107499	001	177
0000300018	00652	0094699783	001	68
0000300018	00652	0045692046	001	186
0000300018	00652	0089884487	001	180
0000300018	00652	0000647338	001	164
0000300018	00652	0048452604	001	198
0000300018	00652	0023419170	001	62
0000300018	00652	0031236263	001	151
0000300018	00652	0022127914	001	115
0000300018	00652	0033086581	001	141
0000300018	00652	0035069059	001	85
0000300018	00652	0088010162	001	91
0000300018	00652	0024754729	001	186
0000300018	00652	0014143138	001	139
0000300018	00652	0075545570	001	93
0000300018	00652	0034364514	001	108
0000300018	00652	0046348662	001	82
0000300018	00652	0074216803	001	58
0000300018	00652	0096010326	001	124
0000300018	00652	0059200461	001	160
0000300018	00652	0009257385	001	75
0000300018	00652	0014320877	001	105
0000300018	00652	0021483857	001	52
0000300018	00652	0049019154	001	79
0000300018	00652	0044656184	001	110
0000300018	00652	0041887029	001	12
0000300018	00652	0076494091	001	49
0000300018	00652	0007266549	001	21
0000300018	00652	0002398414	001	150
0000300018	00652	0061614873	001	164
0000300018	00652	0047062357	001	41
0000300018	00652	0074248862	001	90
0000300018	00652	0008355781	001	30
0000300018	00652	0078344311	001	14
0000300018	00652	0099693670	001	174
0000300018	00652	0062943298	001	158
0000300018	00652	0087208006	001	94
0000300018	00652	0028015966	001	79
0000300018	00652	0018709686	001	173
0000300018	00652	0030131703	001	89
0000300018	00652	0007408992	001	69
