s_id	source	amount	sp_date
0000300018	owzva	1	1990-8-18
0000973218	dhlja	2	1999-1-23
0000792525	rcvuw	3	1995-2-2
0000524329	qhglo	6	1994-11-6
0000187508	wixoq	6	1996-10-12
0000940071	hfkjb	10	1998-5-20
0000881263	zqqzb	2	2000-3-1
0000132730	nbava	5	1996-2-17
0000580723	lcvhx	2	1995-11-21
0000309825	jfvhh	9	1992-11-21
0000784165	sxpfx	2	1994-11-21
0000647658	xvbon	8	1994-2-12
0000353478	axyuo	10	1994-3-21
0000449398	euemu	8	1990-10-25
0000812094	jzfoi	10	1994-5-25
0000726933	xabzc	7	1996-9-7
0000953971	qrjdo	8	1994-9-25
0000835248	ushbu	8	1998-9-8
0000290514	gfovf	9	1990-8-20
0000355206	ybida	7	1990-5-10
0000587508	ahdqs	3	1998-4-13
0000867996	rzsmw	7	1991-4-16
0000878232	songy	10	1997-10-2
0000970703	qmoip	2	1992-4-27
0000385974	dgpfi	8	1993-5-16
0000826959	twqdf	8	1994-3-17
0000113849	drzqg	8	1996-7-17
0000168326	ydrvh	6	1998-10-28
0000832153	kdlkw	9	1993-6-13
0000246305	uivfm	5	1998-9-17
0000824597	rhlud	3	1998-2-4
0000491966	xxojy	5	1997-3-28
0000867456	tvriw	5	1995-11-14
0000147576	byniz	10	1995-6-18
0000277464	cwayj	1	1992-4-9
0000282722	bwttr	3	1993-4-12
0000419875	hnzjy	4	2000-6-25
0000173265	mhmid	10	1993-5-3
0000716291	krwde	4	1997-6-26
0000384276	hggrn	7	1999-9-22
0000146579	jpwfn	2	1993-4-22
0000013834	drqkm	1	2000-1-15
0000253110	ekldm	7	1996-7-1
0000228574	bzcsd	3	1993-4-7
0000798854	ljbrv	8	1997-11-2
0000082075	uchfm	7	1992-1-28
0000632702	khcdl	1	2000-4-4
0000977606	tmgjd	8	1994-1-18
0000516776	tanif	4	1992-5-10
0000334785	wdtah	8	1992-1-1
0000550524	varwr	6	1999-2-28
0000583006	ksbvp	6	1992-1-14
0000489990	scaid	7	1994-7-20
