s_id	mk_id	mk_result	mk_date	as_id	as_result	as_date	tm_id	tm_description
0000300018	00051846	Result of Marker wplyr	1990-8-18	00018557	Result of Assay debyte	1990-8-18	00414697	Desp. of Term ymtjhp
0000300018	null	null	null	null	null	null	00762439	Desp. of Term vbkocw
0000973218	00091682	Result of Marker xunqs	1999-1-23	00086993	Result of Assay jksbzh	1999-1-23	00028089	Desp. of Term gbnpzw
0000973218	null	null	null	null	null	null	00817916	Desp. of Term tkhlzs
0000792525	00058754	Result of Marker dvpph	1995-2-2	00014473	Result of Assay mykedz	1995-2-2	00040872	Desp. of Term nqfumg
0000792525	null	null	null	null	null	null	00386574	Desp. of Term xewppd
0000792525	null	null	null	null	null	null	00941077	Desp. of Term vfxnna
0000792525	null	null	null	null	null	null	00012379	Desp. of Term baegwm
0000792525	null	null	null	null	null	null	00378010	Desp. of Term zwfcqb
0000792525	null	null	null	null	null	null	00140946	Desp. of Term kxqqtj
0000792525	null	null	null	null	null	null	00614408	Desp. of Term zkxnlj
0000792525	null	null	null	null	null	null	00276079	Desp. of Term sbobaq
0000792525	null	null	null	null	null	null	00913577	Desp. of Term bvhlbr
0000524329	00026311	Result of Marker tolpc	1994-11-6	00003751	Result of Assay hdnuxj	1994-11-6	00719063	Desp. of Term cyzeoj
0000187508	00062651	Result of Marker gpuff	1996-10-12	00067126	Result of Assay xnvbmf	1996-10-12	null	null
0000940071	00001932	Result of Marker wkzmp	1998-5-20	00046778	Result of Assay pukqkg	1998-5-20	00041207	Desp. of Term ysgwub
0000881263	00058754	Result of Marker dvpph	2000-3-1	00098707	Result of Assay cvxrcs	2000-3-1	null	null
0000132730	00025332	Result of Marker jbyrm	1996-2-17	00015304	Result of Assay bwhota	1996-2-17	00051195	Desp. of Term ftyjxz
0000580723	00063390	Result of Marker octey	1995-11-21	00095472	Result of Assay iedoin	1995-11-21	00177869	Desp. of Term kunrck
0000580723	null	null	null	null	null	null	00703436	Desp. of Term musiqn
0000580723	null	null	null	null	null	null	00438041	Desp. of Term bglipp
0000580723	null	null	null	null	null	null	00719063	Desp. of Term cyzeoj
0000580723	null	null	null	null	null	null	00570455	Desp. of Term asublw
0000580723	null	null	null	null	null	null	00916816	Desp. of Term btzrwx
0000309825	00010934	Result of Marker rlhfp	1992-11-21	00073813	Result of Assay ztnpld	1992-11-21	00992898	Desp. of Term xybgoq
0000309825	null	null	null	null	null	null	00717497	Desp. of Term vilmkw
0000309825	null	null	null	null	null	null	00517777	Desp. of Term lrrwny
0000309825	null	null	null	null	null	null	00498141	Desp. of Term pizciz
0000309825	null	null	null	null	null	null	00742592	Desp. of Term kzasbi
0000309825	null	null	null	null	null	null	00173596	Desp. of Term dezehy
0000309825	null	null	null	null	null	null	00199542	Desp. of Term xygjvw
0000309825	null	null	null	null	null	null	00030723	Desp. of Term hqzlqn
0000309825	null	null	null	null	null	null	00907807	Desp. of Term xfdvau
0000309825	null	null	null	null	null	null	00305463	Desp. of Term xyzvwb
0000784165	00026824	Result of Marker lefbl	1994-11-21	00067126	Result of Assay xnvbmf	1994-11-21	00315367	Desp. of Term kmygiz
0000784165	null	null	null	null	null	null	00562342	Desp. of Term ztwqjc
0000784165	null	null	null	null	null	null	00562342	Desp. of Term ztwqjc
0000784165	null	null	null	null	null	null	00748876	Desp. of Term tyouls
0000784165	null	null	null	null	null	null	00205064	Desp. of Term cqpkvc
0000784165	null	null	null	null	null	null	00154040	Desp. of Term smirfk
0000784165	null	null	null	null	null	null	00364499	Desp. of Term vhiarc
0000647658	00076034	Result of Marker gceee	1994-2-12	00046778	Result of Assay pukqkg	1994-2-12	00123129	Desp. of Term qsmlpn
0000647658	null	null	null	null	null	null	00322142	Desp. of Term dsksfu
0000647658	null	null	null	null	null	null	00552830	Desp. of Term ztycdi
0000647658	null	null	null	null	null	null	00798155	Desp. of Term ylbhdi
0000647658	null	null	null	null	null	null	00771064	Desp. of Term apcmzs
0000647658	null	null	null	null	null	null	00238565	Desp. of Term gdpwmc
0000647658	null	null	null	null	null	null	00238565	Desp. of Term gdpwmc
0000647658	null	null	null	null	null	null	00957285	Desp. of Term wbmmgv
0000353478	00066086	Result of Marker noyxg	1994-3-21	00045014	Result of Assay biriis	1994-3-21	00110836	Desp. of Term hdheye
0000353478	null	null	null	null	null	null	00590884	Desp. of Term shgans
0000353478	null	null	null	null	null	null	00161667	Desp. of Term uzsxus
0000353478	null	null	null	null	null	null	00318919	Desp. of Term rafpnt
0000353478	null	null	null	null	null	null	00028089	Desp. of Term gbnpzw
0000353478	null	null	null	null	null	null	00244504	Desp. of Term mdoopa
0000353478	null	null	null	null	null	null	00447614	Desp. of Term itzywb
0000353478	null	null	null	null	null	null	00727989	Desp. of Term iquqip
0000353478	null	null	null	null	null	null	00769894	Desp. of Term iwcohi
0000449398	00010934	Result of Marker rlhfp	1990-10-25	00063661	Result of Assay vvonyi	1990-10-25	00515988	Desp. of Term qtleah
0000449398	null	null	null	null	null	null	00700729	Desp. of Term qqqqxk
0000812094	00020005	Result of Marker qbikb	1994-5-25	00062973	Result of Assay ivvqeg	1994-5-25	00907807	Desp. of Term xfdvau
0000812094	null	null	null	null	null	null	00562342	Desp. of Term ztwqjc
0000812094	null	null	null	null	null	null	00592667	Desp. of Term shvngl
0000812094	null	null	null	null	null	null	00768385	Desp. of Term isjyhg
0000812094	null	null	null	null	null	null	00551266	Desp. of Term wvzwtx
0000726933	00089187	Result of Marker jqujw	1996-9-7	00001977	Result of Assay lkepor	1996-9-7	00140946	Desp. of Term kxqqtj
0000726933	null	null	null	null	null	null	00111409	Desp. of Term lbxdbg
0000726933	null	null	null	null	null	null	00326301	Desp. of Term qexdzi
0000726933	null	null	null	null	null	null	00635785	Desp. of Term ehryvd
0000726933	null	null	null	null	null	null	00534502	Desp. of Term ylzvjm
0000726933	null	null	null	null	null	null	00051236	Desp. of Term pzmste
0000726933	null	null	null	null	null	null	00941077	Desp. of Term vfxnna
0000726933	null	null	null	null	null	null	00956448	Desp. of Term cxfjrp
0000726933	null	null	null	null	null	null	00315367	Desp. of Term kmygiz
0000726933	null	null	null	null	null	null	00305056	Desp. of Term gnrwuu
0000953971	00062651	Result of Marker gpuff	1994-9-25	00081568	Result of Assay ywwguw	1994-9-25	00389870	Desp. of Term ogikgd
0000835248	00063390	Result of Marker octey	1998-9-8	00073813	Result of Assay ztnpld	1998-9-8	00733281	Desp. of Term nazjax
0000835248	null	null	null	null	null	null	00050298	Desp. of Term pqdmmd
0000835248	null	null	null	null	null	null	00621660	Desp. of Term sbcvrf
0000835248	null	null	null	null	null	null	00533498	Desp. of Term hkfulm
0000835248	null	null	null	null	null	null	00957285	Desp. of Term wbmmgv
0000835248	null	null	null	null	null	null	00376216	Desp. of Term audosm
0000835248	null	null	null	null	null	null	00711012	Desp. of Term hqqwtf
0000835248	null	null	null	null	null	null	00041207	Desp. of Term ysgwub
0000835248	null	null	null	null	null	null	00451517	Desp. of Term tgrget
0000290514	00020005	Result of Marker qbikb	1990-8-20	00021700	Result of Assay msnjiy	1990-8-20	00640885	Desp. of Term wumtls
0000290514	null	null	null	null	null	null	00807051	Desp. of Term dpvuaf
0000290514	null	null	null	null	null	null	00132233	Desp. of Term pegxzj
0000355206	00026824	Result of Marker lefbl	1990-5-10	00046778	Result of Assay pukqkg	1990-5-10	00446956	Desp. of Term txdbtl
0000355206	null	null	null	null	null	null	00634830	Desp. of Term sifzzo
0000355206	null	null	null	null	null	null	00832988	Desp. of Term iezpuh
0000355206	null	null	null	null	null	null	00916816	Desp. of Term btzrwx
0000355206	null	null	null	null	null	null	00703436	Desp. of Term musiqn
0000355206	null	null	null	null	null	null	00639488	Desp. of Term vwfozn
0000355206	null	null	null	null	null	null	00030723	Desp. of Term hqzlqn
0000355206	null	null	null	null	null	null	00788349	Desp. of Term igwnoo
0000587508	00076034	Result of Marker gceee	1998-4-13	00014473	Result of Assay mykedz	1998-4-13	00566524	Desp. of Term vttgku
0000587508	null	null	null	null	null	null	00073826	Desp. of Term wdppao
0000587508	null	null	null	null	null	null	00684232	Desp. of Term eqnmjl
0000587508	null	null	null	null	null	null	00363900	Desp. of Term kysxvg
0000587508	null	null	null	null	null	null	00492872	Desp. of Term caesle
0000867996	00018501	Result of Marker esond	1991-4-16	00073908	Result of Assay cubwpy	1991-4-16	00030723	Desp. of Term hqzlqn
0000867996	null	null	null	null	null	null	00455979	Desp. of Term psbmgb
0000878232	00089187	Result of Marker jqujw	1997-10-2	00005440	Result of Assay zpoeoe	1997-10-2	null	null
0000970703	00007755	Result of Marker uywxj	1992-4-27	00018557	Result of Assay debyte	1992-4-27	00941077	Desp. of Term vfxnna
0000970703	null	null	null	null	null	null	00698099	Desp. of Term jvthnp
0000970703	null	null	null	null	null	null	00224724	Desp. of Term ckjjxu
