tm_id	name	type	setting
00205669	faahji	Term Type 04	Definition of faahji
00362623	kfztyr	Term Type 10	Definition of kfztyr
00179585	qexhcy	Term Type 04	Definition of qexhcy
00626144	qxlzxm	Term Type 02	Definition of qxlzxm
00068211	tojmqq	Term Type 05	Definition of tojmqq
00436697	xhhrtq	Term Type 03	Definition of xhhrtq
00819712	ujjpym	Term Type 05	Definition of ujjpym
00769394	eozqzu	Term Type 07	Definition of eozqzu
00454867	aqtvqn	Term Type 07	Definition of aqtvqn
00408140	fmasew	Term Type 01	Definition of fmasew
00071985	ipdekg	Term Type 06	Definition of ipdekg
00678504	akurgj	Term Type 01	Definition of akurgj
00787975	dfzxmd	Term Type 05	Definition of dfzxmd
00295267	iijqtw	Term Type 07	Definition of iijqtw
00957285	wbmmgv	Term Type 04	Definition of wbmmgv
00345508	uyyeyw	Term Type 07	Definition of uyyeyw
00430154	qvhpzz	Term Type 10	Definition of qvhpzz
00588788	ndyopp	Term Type 08	Definition of ndyopp
00665849	jbvxnq	Term Type 02	Definition of jbvxnq
00733324	weaxhi	Term Type 01	Definition of weaxhi
00021877	mtewvt	Term Type 05	Definition of mtewvt
00041207	ysgwub	Term Type 06	Definition of ysgwub
00646640	xknlft	Term Type 02	Definition of xknlft
00674898	efjzny	Term Type 06	Definition of efjzny
00511266	czmfyw	Term Type 03	Definition of czmfyw
00721738	wuuflv	Term Type 08	Definition of wuuflv
00762479	kzuyka	Term Type 08	Definition of kzuyka
00693749	rqzhuc	Term Type 02	Definition of rqzhuc
00913577	bvhlbr	Term Type 03	Definition of bvhlbr
00858473	bsrwnv	Term Type 07	Definition of bsrwnv
00798155	ylbhdi	Term Type 09	Definition of ylbhdi
00075404	zjeksz	Term Type 10	Definition of zjeksz
00290567	lcwupm	Term Type 10	Definition of lcwupm
00684232	eqnmjl	Term Type 01	Definition of eqnmjl
00595120	qwdlub	Term Type 04	Definition of qwdlub
00513618	kksqbm	Term Type 08	Definition of kksqbm
00621550	tnynlw	Term Type 01	Definition of tnynlw
00199542	xygjvw	Term Type 06	Definition of xygjvw
00071791	iqrjmd	Term Type 07	Definition of iqrjmd
00823805	fjpqar	Term Type 05	Definition of fjpqar
00676506	atrqzx	Term Type 10	Definition of atrqzx
00028089	gbnpzw	Term Type 05	Definition of gbnpzw
00639488	vwfozn	Term Type 06	Definition of vwfozn
00795229	xqaxbh	Term Type 02	Definition of xqaxbh
00414697	ymtjhp	Term Type 09	Definition of ymtjhp
00693697	yacjsj	Term Type 08	Definition of yacjsj
00398455	ybnhsv	Term Type 01	Definition of ybnhsv
00609728	xeiffc	Term Type 04	Definition of xeiffc
00852527	sumwdu	Term Type 05	Definition of sumwdu
00612737	caiwgv	Term Type 01	Definition of caiwgv
00302722	qcywms	Term Type 01	Definition of qcywms
00450920	yvuxlf	Term Type 04	Definition of yvuxlf
00188064	xyevmv	Term Type 03	Definition of xyevmv
00820040	bvlfmh	Term Type 04	Definition of bvlfmh
00551266	wvzwtx	Term Type 04	Definition of wvzwtx
00788349	igwnoo	Term Type 05	Definition of igwnoo
00705916	iconns	Term Type 02	Definition of iconns
00807051	dpvuaf	Term Type 05	Definition of dpvuaf
00528108	ecraou	Term Type 09	Definition of ecraou
00478931	xtelgl	Term Type 10	Definition of xtelgl
00026458	keybjc	Term Type 09	Definition of keybjc
00521193	nfhhhk	Term Type 05	Definition of nfhhhk
00822663	ffcppl	Term Type 08	Definition of ffcppl
00001976	uxqwui	Term Type 09	Definition of uxqwui
00432049	prezks	Term Type 09	Definition of prezks
00907807	xfdvau	Term Type 02	Definition of xfdvau
00164556	uhzzja	Term Type 01	Definition of uhzzja
00151068	wnbdft	Term Type 05	Definition of wnbdft
00565305	gmckgf	Term Type 03	Definition of gmckgf
00133897	gniyys	Term Type 08	Definition of gniyys
00102328	ljcjlw	Term Type 10	Definition of ljcjlw
00980117	vuhvtw	Term Type 10	Definition of vuhvtw
00789248	vvzkfy	Term Type 03	Definition of vvzkfy
00336144	nbpaor	Term Type 08	Definition of nbpaor
00309660	lzulgl	Term Type 08	Definition of lzulgl
00480387	jaabzm	Term Type 03	Definition of jaabzm
00378600	hvndyv	Term Type 05	Definition of hvndyv
00124167	usznje	Term Type 01	Definition of usznje
00225212	jgxild	Term Type 02	Definition of jgxild
00132501	qeyvif	Term Type 02	Definition of qeyvif
00318919	rafpnt	Term Type 10	Definition of rafpnt
00274920	igrhnv	Term Type 05	Definition of igrhnv
00742592	kzasbi	Term Type 09	Definition of kzasbi
00265526	oqvbjk	Term Type 04	Definition of oqvbjk
00821359	kzefll	Term Type 05	Definition of kzefll
00019748	kjkqne	Term Type 09	Definition of kjkqne
00615382	blmfdo	Term Type 05	Definition of blmfdo
00127967	rsxxxe	Term Type 05	Definition of rsxxxe
00998553	bibnwn	Term Type 04	Definition of bibnwn
00703625	rubhec	Term Type 05	Definition of rubhec
00542960	yutrxe	Term Type 02	Definition of yutrxe
00830652	kxrjtm	Term Type 10	Definition of kxrjtm
00772499	nmvved	Term Type 09	Definition of nmvved
00557636	smbigo	Term Type 10	Definition of smbigo
00191363	xcruif	Term Type 02	Definition of xcruif
00279812	glsryl	Term Type 04	Definition of glsryl
00588746	bmjlgu	Term Type 05	Definition of bmjlgu
00847051	ckfmkv	Term Type 10	Definition of ckfmkv
00614102	ddizoz	Term Type 09	Definition of ddizoz
00029745	ijcnic	Term Type 04	Definition of ijcnic
00276584	vrzvxs	Term Type 04	Definition of vrzvxs
00881390	roedmb	Term Type 09	Definition of roedmb
00004446	usgnen	Term Type 09	Definition of usgnen
00562342	ztwqjc	Term Type 05	Definition of ztwqjc
00538367	urinqx	Term Type 05	Definition of urinqx
00920076	yxjlbv	Term Type 09	Definition of yxjlbv
00642346	xkcesx	Term Type 08	Definition of xkcesx
00329877	viikkk	Term Type 08	Definition of viikkk
00131619	hzsjty	Term Type 10	Definition of hzsjty
00079774	wavsqp	Term Type 04	Definition of wavsqp
00023220	exeepx	Term Type 06	Definition of exeepx
00573599	vbmymg	Term Type 03	Definition of vbmymg
00621660	sbcvrf	Term Type 05	Definition of sbcvrf
00451309	zrehjn	Term Type 07	Definition of zrehjn
00775934	qqpuxc	Term Type 07	Definition of qqpuxc
00552830	ztycdi	Term Type 04	Definition of ztycdi
00736894	nmewjh	Term Type 01	Definition of nmewjh
00172430	xzxqaj	Term Type 01	Definition of xzxqaj
00065977	jhrdmo	Term Type 08	Definition of jhrdmo
00252939	aqafmc	Term Type 08	Definition of aqafmc
00250765	uezntw	Term Type 07	Definition of uezntw
00732521	iffcea	Term Type 06	Definition of iffcea
00448219	vtjsky	Term Type 03	Definition of vtjsky
00205064	cqpkvc	Term Type 08	Definition of cqpkvc
00018668	ragkbs	Term Type 02	Definition of ragkbs
00447614	itzywb	Term Type 05	Definition of itzywb
00363900	kysxvg	Term Type 05	Definition of kysxvg
00042887	yfvipg	Term Type 08	Definition of yfvipg
00900458	vwdzbv	Term Type 01	Definition of vwdzbv
00140946	kxqqtj	Term Type 07	Definition of kxqqtj
00204403	slsson	Term Type 06	Definition of slsson
00658625	dmlmaq	Term Type 03	Definition of dmlmaq
00180805	gctkyb	Term Type 09	Definition of gctkyb
00451517	tgrget	Term Type 03	Definition of tgrget
00393203	iifqhj	Term Type 10	Definition of iifqhj
00321460	bmsxqg	Term Type 08	Definition of bmsxqg
00051195	ftyjxz	Term Type 08	Definition of ftyjxz
00230060	bslqyw	Term Type 01	Definition of bslqyw
00490103	bpimti	Term Type 05	Definition of bpimti
00088559	ettver	Term Type 09	Definition of ettver
00277376	zpmajo	Term Type 01	Definition of zpmajo
00851307	ocntax	Term Type 06	Definition of ocntax
00986479	mkywnh	Term Type 06	Definition of mkywnh
00386006	cjefms	Term Type 09	Definition of cjefms
00655868	kxzbxc	Term Type 04	Definition of kxzbxc
00457987	cfvcvo	Term Type 01	Definition of cfvcvo
00154040	smirfk	Term Type 04	Definition of smirfk
00107067	acdyjk	Term Type 09	Definition of acdyjk
00884992	kotzhj	Term Type 01	Definition of kotzhj
00161528	azebzm	Term Type 06	Definition of azebzm
00943570	tqbwll	Term Type 04	Definition of tqbwll
00414765	efkmgk	Term Type 02	Definition of efkmgk
00486941	ddtdyg	Term Type 07	Definition of ddtdyg
00252611	ndfqur	Term Type 01	Definition of ndfqur
00111409	lbxdbg	Term Type 01	Definition of lbxdbg
00618792	klckxq	Term Type 06	Definition of klckxq
00118136	cmbzzz	Term Type 08	Definition of cmbzzz
00258937	ysyrds	Term Type 08	Definition of ysyrds
00225335	irflzn	Term Type 09	Definition of irflzn
00937623	xvxjlf	Term Type 06	Definition of xvxjlf
00177869	kunrck	Term Type 08	Definition of kunrck
00389870	ogikgd	Term Type 01	Definition of ogikgd
00602843	mpkcev	Term Type 09	Definition of mpkcev
00819344	glooyf	Term Type 01	Definition of glooyf
00604819	olvduv	Term Type 02	Definition of olvduv
00199628	wvyxrs	Term Type 03	Definition of wvyxrs
00818734	hgkfia	Term Type 08	Definition of hgkfia
